3.892683333333333451e+01,2.601433333333333309e+01,1.431799999999999962e+01,6.861333333333333506e+00,3.324333333333333140e+00,1.570833333333333304e+00,7.321666666666666323e-01,4.670000000000000262e-01
3.500800000000000267e+01,2.174833333333333485e+01,1.142300000000000004e+01,5.468499999999999694e+00,2.557999999999999829e+00,1.227833333333333332e+00,5.444999999999999840e-01,3.376666666666666705e-01
3.956916666666666771e+01,2.614716666666666711e+01,1.453116666666666745e+01,7.177833333333333066e+00,3.464833333333333432e+00,1.663666666666666627e+00,7.796666666666666190e-01,4.709999999999999742e-01
3.878133333333333610e+01,2.505083333333333329e+01,1.365016666666666723e+01,6.696666666666666323e+00,3.243500000000000050e+00,1.562333333333333352e+00,7.289999999999999813e-01,4.410000000000000031e-01
3.580100000000000193e+01,2.321233333333333348e+01,1.244916666666666671e+01,6.167833333333333279e+00,3.057666666666666533e+00,1.514333333333333309e+00,7.168333333333333224e-01,4.154999999999999805e-01
3.782399999999999807e+01,2.455016666666666580e+01,1.309066666666666734e+01,6.475666666666666238e+00,3.150666666666666504e+00,1.577166666666666606e+00,7.666666666666667185e-01,4.553333333333333122e-01
3.535116666666666418e+01,2.224899999999999878e+01,1.147016666666666751e+01,5.539166666666666572e+00,2.700166666666666604e+00,1.309666666666666757e+00,6.494999999999999662e-01,4.179999999999999827e-01
3.761116666666666930e+01,2.479266666666666552e+01,1.354950000000000010e+01,6.589166666666666394e+00,3.119666666666666810e+00,1.487666666666666693e+00,7.371666666666666368e-01,4.660000000000000253e-01
4.118066666666666720e+01,2.862199999999999989e+01,1.659049999999999869e+01,8.101333333333332831e+00,3.933166666666666700e+00,1.879000000000000004e+00,8.906666666666667176e-01,5.504999999999999893e-01
3.743766666666666509e+01,2.447033333333333260e+01,1.339850000000000030e+01,6.552333333333333343e+00,3.137166666666666881e+00,1.460833333333333428e+00,6.854999999999999982e-01,4.121666666666666812e-01
